Uniprot_A	Uniprot_B	Gene_A	Gene_B	ORF_A	ORF_B	Alias_A	Alias_B	pmid:method:quality
A6X980	O14229	SFC7	SFC1	SPAC1250.07	SPAC6F12.11C	SPAC1250.07	SPAC6F12.11C	23921640:0114:LC
C6Y4D0	P87174	DPB3	DPB4	SPCC16C4.22	SPBC3D6.09	SPCC16C4.22	SPBC3D6.09	29109278:0114:LC
D0EJL8	O13961	PDI2	CUT11		SPAC1786.03|SPAC24C9.01		SPAC1786.03	33109728:0090:HT
G2TRN4	G2TRN4	ERH1	ERH1	SPAC19G12.17	SPAC19G12.17	SPAC19G12.17	SPAC19G12.17	31974447:0114:LC
O00102	P87238	UBC7	P87238	SPBP16F5.04	SPCC4G3.13C	SPBP16F5.04	SPCC4G3.13C	31397327:0114:LC
O13286	O13286	SRW1	SRW1	SPAC144.13C	SPAC144.13C	SPAC144.13C	SPAC144.13C	26771498:0018:HT
O13310	O13310	ORB6	ORB6	SPAC821.12	SPAC821.12	SPAC821.12	SPAC821.12	22629372:0415:LC|12646585:0415:LC|23615447:0018:LC
O13310	O74558	ORB6	MOB2	SPAC821.12	SPCC970.04C	SPAC821.12	SPCC970.04C	16096637:0019:LC|12456722:0004:LC|23615447:0018:LC|12456722:0428:LC|12456722:0007:LC|12456722:0018:LC|12456722:0096:LC
O13310	P78963	ORB6	SKB1	SPAC821.12	SPBC16H5.11C	SPAC821.12	SPBC16H5.11C	12646585:0004:LC|23615447:0018:LC|12646585:0018:LC|12646585:0096:LC
O13310	Q9HDV6	ORB6	MOR2	SPAC821.12	SPBP19A11.04C	SPAC821.12	SPBP19A11.04C	16096637:0019:LC|16096637:0004:LC|23615447:0018:LC|16096637:0018:LC
O13326	O14063	MET17	CUT15	SPBC428.11	SPCC962.03C	SPBC428.11	SPCC962.03C	26771498:0018:HT
O13339	O74804	TRT1	EST1	SPBC29A3.14C	SPBC2D10.13	SPBC29A3.14C	SPBC2D10.13	12676088:0007:LC|12676088:0004:LC|18157152:0007:LC|18157152:0004:LC
O13351	O13826	PMT3	RFP1	SPBC365.06	SPAC19A8.10	SPBC365.06	SPAC19A8.10	17762865:0018:LC|17762864:0096:LC|17762864:0018:LC
O13370	P34208	DED1	CHK1	SPCC1795.11	SPCC1259.13	SPCC1795.11	SPCC1259.13	11711540:0018:LC|11711540:0004:LC|17502373:0018:LC
O13453	O13453	PMP1	PMP1	SPBC1685.01	SPBC1685.01	SPBC1685.01	SPBC1685.01	26771498:0018:HT
O13453	Q10156	PMP1	LKH1	SPBC1685.01	SPAC1D4.11C	SPBC1685.01	SPAC1D4.11C	23695164:0018:HT|26771498:0018:HT|23695164:0397:HT
O13598	O94425	O13598	O94425	PI003|SPACTOKYO_453.33C|SPBC11B10.08	SPBC660.05	SPBC11B10.08	SPBC660.05	26771498:0018:HT
O13598	O94426	O13598	O94426	PI003|SPACTOKYO_453.33C|SPBC11B10.08	SPBC660.06	SPBC11B10.08	SPBC660.06	26771498:0018:HT
O13614	O14261	RPS1002	TAF1	PI023|SPBP22H7.08	SPAC7D4.04	SPBP22H7.08	SPAC7D4.04	26771498:0018:HT
